tech,EUR,CO2
pv,120427.8595115554,160.23393333333334
wind,134879.20265294204,36.75
coal,113840.011390484,13.859555555555554
nuc,128151.32710814483,15.75
oil,28492.528565161138,8.25
gas,25044.80250590648,1.2334
psp,55293.719818235084,0.0
