Timestamp,year,california
1,2016,23273
2,2016,22498
3,2016,21904
4,2016,21588
5,2016,21615
6,2016,22030
7,2016,22531
8,2016,22604
9,2016,22674
10,2016,22865
11,2016,22969
12,2016,22585
13,2016,22241
14,2016,21966
15,2016,22093
16,2016,22080
17,2016,23216
18,2016,26416
19,2016,27069
20,2016,26861
21,2016,26418
22,2016,25534
23,2016,24364
24,2016,23101
25,2016,22133
26,2016,21310
27,2016,20841
28,2016,20654
29,2016,20857
30,2016,21434
31,2016,22259
32,2016,22923
33,2016,23570
34,2016,23966
35,2016,23707
36,2016,23194
37,2016,22910
38,2016,22936
39,2016,22934
40,2016,22889
41,2016,23851
42,2016,26759
43,2016,27273
44,2016,26990
45,2016,26484
46,2016,25557
47,2016,24313
48,2016,23083
49,2016,21933
50,2016,20978
51,2016,20410
52,2016,20160
53,2016,20258
54,2016,20730
55,2016,21559
56,2016,21963
57,2016,22167
58,2016,22411
59,2016,22381
60,2016,22268
61,2016,22247
62,2016,22291
63,2016,22508
64,2016,22706
65,2016,23816
66,2016,26983
67,2016,27515
68,2016,27245
69,2016,26534
70,2016,25189
71,2016,23561
72,2016,22177
73,2016,20996
74,2016,20215
75,2016,19747
76,2016,19760
77,2016,20341
78,2016,21967
79,2016,24429
80,2016,25892
81,2016,26315
82,2016,26442
83,2016,26337
84,2016,26063
85,2016,25947
86,2016,25940
87,2016,25809
88,2016,25704
89,2016,26600
90,2016,29134
91,2016,29439
92,2016,28908
93,2016,27925
94,2016,26358
95,2016,24270
96,2016,22239
97,2016,20861
98,2016,20087
99,2016,19652
100,2016,19557
101,2016,20107
102,2016,21678
103,2016,24251
104,2016,26008
105,2016,26862
106,2016,27580
107,2016,28045
108,2016,28088
109,2016,28103
110,2016,27892
111,2016,27404
112,2016,27038
113,2016,27732
114,2016,29896
115,2016,30260
116,2016,29655
117,2016,28793
118,2016,27092
119,2016,24981
120,2016,23160
121,2016,21757
122,2016,20901
123,2016,20404
124,2016,20347
125,2016,20943
126,2016,22673
127,2016,25053
128,2016,26613
129,2016,27118
130,2016,27377
131,2016,27606
132,2016,27876
133,2016,27897
134,2016,27916
135,2016,27774
136,2016,27794
137,2016,28434
138,2016,30412
139,2016,30581
140,2016,29947
141,2016,29096
142,2016,27492
143,2016,25383
144,2016,23296
145,2016,21964
146,2016,21332
147,2016,20879
148,2016,20742
149,2016,21320
150,2016,22883
151,2016,25476
152,2016,26748
153,2016,26770
154,2016,26711
155,2016,26647
156,2016,26412
157,2016,26424
158,2016,26148
159,2016,25813
160,2016,25824
161,2016,26728
162,2016,29436
163,2016,30045
164,2016,29498
165,2016,28790
166,2016,27420
167,2016,25432
168,2016,23739
169,2016,22416
170,2016,21599
171,2016,21119
172,2016,21156
173,2016,21750
174,2016,23348
175,2016,26075
176,2016,27310
177,2016,27329
178,2016,27038
179,2016,26755
180,2016,26305
181,2016,25605
182,2016,25087
183,2016,25263
184,2016,25670
185,2016,26422
186,2016,28897
187,2016,29164
188,2016,28663
189,2016,28003
190,2016,26955
191,2016,25218
192,2016,23421
193,2016,22012
194,2016,21129
195,2016,20626
196,2016,20608
197,2016,20787
198,2016,21428
199,2016,22525
200,2016,23130
201,2016,23844
202,2016,23786
203,2016,23782
204,2016,23598
205,2016,23674
206,2016,23711
207,2016,23734
208,2016,24029
209,2016,24975
210,2016,27192
211,2016,27405
212,2016,26979
213,2016,26401
214,2016,25415
215,2016,23855
216,2016,22122
217,2016,20929
218,2016,20107
219,2016,19502
220,2016,19217
221,2016,19341
222,2016,19757
223,2016,20579
224,2016,21135
225,2016,21899
226,2016,22452
227,2016,22427
228,2016,22358
229,2016,22284
230,2016,22357
231,2016,22556
232,2016,22982
233,2016,24170
234,2016,26830
235,2016,27428
236,2016,27100
237,2016,26493
238,2016,25204
239,2016,23492
240,2016,21937
241,2016,20625
242,2016,19915
243,2016,19613
244,2016,19733
245,2016,20516
246,2016,22359
247,2016,25190
248,2016,26443
249,2016,26238
250,2016,26132
251,2016,25855
252,2016,25246
253,2016,25023
254,2016,24891
255,2016,25005
256,2016,25573
257,2016,26293
258,2016,28990
259,2016,29583
260,2016,29125
261,2016,28422
262,2016,26948
263,2016,24767
264,2016,22767
265,2016,21481
266,2016,20865
267,2016,20512
268,2016,20533
269,2016,21268
270,2016,23030
271,2016,25671
272,2016,27017
273,2016,26464
274,2016,26134
275,2016,25577
276,2016,24897
277,2016,24591
278,2016,24861
279,2016,24893
280,2016,25216
281,2016,26156
282,2016,28820
283,2016,29412
284,2016,29054
285,2016,28379
286,2016,26846
287,2016,24763
288,2016,22687
289,2016,21569
290,2016,20854
291,2016,20460
292,2016,20474
293,2016,21179
294,2016,22949
295,2016,25774
296,2016,26955
297,2016,26775
298,2016,26519
299,2016,25938
300,2016,25689
301,2016,25672
302,2016,25332
303,2016,25107
304,2016,25250
305,2016,25891
306,2016,28498
307,2016,29138
308,2016,28826
309,2016,28148
310,2016,26771
311,2016,24643
312,2016,22669
313,2016,21590
314,2016,21286
315,2016,20885
316,2016,20530
317,2016,21212
318,2016,22881
319,2016,25494
320,2016,27023
321,2016,26712
322,2016,26403
323,2016,26103
324,2016,25583
325,2016,25471
326,2016,25397
327,2016,25434
328,2016,25870
329,2016,26774
330,2016,29115
331,2016,29584
332,2016,29088
333,2016,28346
334,2016,26952
335,2016,24951
336,2016,22888
337,2016,21586
338,2016,20711
339,2016,20198
340,2016,20218
341,2016,20708
342,2016,22376
343,2016,25091
344,2016,26300
345,2016,26305
346,2016,26147
347,2016,25777
348,2016,25575
349,2016,25558
350,2016,25142
351,2016,24924
352,2016,24897
353,2016,25621
354,2016,28086
355,2016,28490
356,2016,27815
357,2016,27120
358,2016,26014
359,2016,24310
360,2016,22505
361,2016,21024
362,2016,20194
363,2016,19613
364,2016,19226
365,2016,19302
366,2016,20078
367,2016,21139
368,2016,21788
369,2016,22572
370,2016,22945
371,2016,22766
372,2016,22408
373,2016,22300
374,2016,22251
375,2016,22197
376,2016,22510
377,2016,23335
378,2016,25672
379,2016,26192
380,2016,25904
381,2016,25383
382,2016,24408
383,2016,23008
384,2016,21470
385,2016,20292
386,2016,19715
387,2016,19204
388,2016,18955
389,2016,19047
390,2016,19486
391,2016,20241
392,2016,20610
393,2016,20942
394,2016,21430
395,2016,21693
396,2016,21792
397,2016,21780
398,2016,21755
399,2016,21926
400,2016,22370
401,2016,23224
402,2016,25594
403,2016,26223
404,2016,25860
405,2016,25234
406,2016,24098
407,2016,22557
408,2016,21113
409,2016,20215
410,2016,19505
411,2016,19162
412,2016,19109
413,2016,19663
414,2016,20955
415,2016,22726
416,2016,23922
417,2016,24804
418,2016,25115
419,2016,25104
420,2016,24919
421,2016,25015
422,2016,24971
423,2016,25093
424,2016,25217
425,2016,25682
426,2016,28134
427,2016,28683
428,2016,28103
429,2016,27301
430,2016,25725
431,2016,23621
432,2016,21826
433,2016,20632
434,2016,19844
435,2016,19401
436,2016,19399
437,2016,20152
438,2016,21673
439,2016,24110
440,2016,25774
441,2016,26079
442,2016,26070
443,2016,26359
444,2016,26283
445,2016,26304
446,2016,25843
447,2016,25445
448,2016,25529
449,2016,26164
450,2016,28238
451,2016,28754
452,2016,28285
453,2016,27469
454,2016,25915
455,2016,23781
456,2016,21820
457,2016,20801
458,2016,20017
459,2016,19554
460,2016,19454
461,2016,20060
462,2016,21717
463,2016,24435
464,2016,25867
465,2016,25658
466,2016,25765
467,2016,25809
468,2016,25432
469,2016,25080
470,2016,25035
471,2016,25006
472,2016,25019
473,2016,25686
474,2016,28001
475,2016,28637
476,2016,28117
477,2016,27283
478,2016,25785
479,2016,23703
480,2016,21825
481,2016,20830
482,2016,20144
483,2016,19705
484,2016,19636
485,2016,20146
486,2016,21643
487,2016,24160
488,2016,25562
489,2016,25639
490,2016,25475
491,2016,25130
492,2016,24817
493,2016,24696
494,2016,24753
495,2016,24914
496,2016,25131
497,2016,25699
498,2016,27818
499,2016,28359
500,2016,27818
501,2016,26966
502,2016,25583
503,2016,23530
504,2016,21779
505,2016,20774
506,2016,19953
507,2016,19598
508,2016,19533
509,2016,20027
510,2016,21698
511,2016,24372
512,2016,25438
513,2016,25800
514,2016,25925
515,2016,25920
516,2016,26004
517,2016,25494
518,2016,25480
519,2016,25339
520,2016,25203
521,2016,25668
522,2016,27678
523,2016,28102
524,2016,27517
525,2016,26725
526,2016,25483
527,2016,23686
528,2016,21935
529,2016,20514
530,2016,19566
531,2016,19011
532,2016,18744
533,2016,19007
534,2016,19658
535,2016,20726
536,2016,21485
537,2016,22270
538,2016,22877
539,2016,23137
540,2016,22884
541,2016,22636
542,2016,22446
543,2016,22324
544,2016,22509
545,2016,22972
546,2016,25275
547,2016,26133
548,2016,25848
549,2016,25217
550,2016,24361
551,2016,22912
552,2016,21362
553,2016,20038
554,2016,19228
555,2016,18775
556,2016,18665
557,2016,19143
558,2016,19897
559,2016,20660
560,2016,20946
561,2016,21298
562,2016,21368
563,2016,21315
564,2016,21467
565,2016,21365
566,2016,21335
567,2016,21509
568,2016,21543
569,2016,22514
570,2016,25326
571,2016,26509
572,2016,26372
573,2016,25722
574,2016,24389
575,2016,22673
576,2016,21210
577,2016,20128
578,2016,19487
579,2016,19214
580,2016,19385
581,2016,20122
582,2016,22004
583,2016,24797
584,2016,26243
585,2016,26010
586,2016,25603
587,2016,25201
588,2016,24919
589,2016,24748
590,2016,24669
591,2016,24685
592,2016,24972
593,2016,25781
594,2016,28116
595,2016,29179
596,2016,28692
597,2016,27882
598,2016,26334
599,2016,24248
600,2016,22304
601,2016,20978
602,2016,20132
603,2016,19695
604,2016,19697
605,2016,20443
606,2016,22241
607,2016,25153
608,2016,26313
609,2016,25990
610,2016,25492
611,2016,25056
612,2016,24681
613,2016,24516
614,2016,24524
615,2016,24657
616,2016,24836
617,2016,25650
618,2016,28048
619,2016,29048
620,2016,28568
621,2016,27814
622,2016,26274
623,2016,24132
624,2016,22215
625,2016,20959
626,2016,20161
627,2016,19770
628,2016,19760
629,2016,20540
630,2016,22258
631,2016,25103
632,2016,26467
633,2016,26276
634,2016,25985
635,2016,25566
636,2016,25292
637,2016,25270
638,2016,25162
639,2016,25012
640,2016,24964
641,2016,25591
642,2016,27875
643,2016,28991
644,2016,28499
645,2016,27760
646,2016,26316
647,2016,24183
648,2016,22194
649,2016,20947
650,2016,20158
651,2016,19797
652,2016,19793
653,2016,20528
654,2016,22300
655,2016,25197
656,2016,26486
657,2016,26189
658,2016,25861
659,2016,25459
660,2016,25207
661,2016,25279
662,2016,25268
663,2016,25307
664,2016,25310
665,2016,25690
666,2016,27650
667,2016,28666
668,2016,28136
669,2016,27356
670,2016,25782
671,2016,23854
672,2016,22042
673,2016,20927
674,2016,20376
675,2016,20164
676,2016,19789
677,2016,20361
678,2016,21635
679,2016,24057
680,2016,25197
681,2016,25414
682,2016,25751
683,2016,25495
684,2016,25466
685,2016,25351
686,2016,25686
687,2016,25699
688,2016,25364
689,2016,25402
690,2016,27168
691,2016,27957
692,2016,27273
693,2016,26462
694,2016,25243
695,2016,23622
696,2016,21870
697,2016,20818
698,2016,19887
699,2016,19282
700,2016,18992
701,2016,19258
702,2016,20020
703,2016,21088
704,2016,21762
705,2016,22481
706,2016,22860
707,2016,22661
708,2016,22702
709,2016,22624
710,2016,22576
711,2016,22764
712,2016,22795
713,2016,23157
714,2016,25362
715,2016,26370
716,2016,25923
717,2016,25307
718,2016,24339
719,2016,23075
720,2016,21818
721,2016,20568
722,2016,19668
723,2016,19166
724,2016,18911
725,2016,19036
726,2016,19421
727,2016,20193
728,2016,20835
729,2016,21818
730,2016,22517
731,2016,22860
732,2016,22877
733,2016,22879
734,2016,22710
735,2016,22617
736,2016,22719
737,2016,23753
738,2016,26075
739,2016,27566
740,2016,27390
741,2016,26855
742,2016,25571
743,2016,23743
744,2016,21955
745,2016,20913
746,2016,20264
747,2016,19957
748,2016,20158
749,2016,20948
750,2016,22728
751,2016,25102
752,2016,26578
753,2016,26344
754,2016,26032
755,2016,25561
756,2016,24911
757,2016,24415
758,2016,24292
759,2016,24187
760,2016,24377
761,2016,25408
762,2016,28239
763,2016,29996
764,2016,29734
765,2016,29091
766,2016,27522
767,2016,25476
768,2016,23469
769,2016,22146
770,2016,21368
771,2016,20990
772,2016,20987
773,2016,21821
774,2016,23669
775,2016,26472
776,2016,27785
777,2016,27361
778,2016,26868
779,2016,26263
780,2016,25440
781,2016,24951
782,2016,24918
783,2016,24734
784,2016,24925
785,2016,25728
786,2016,28134
787,2016,29757
788,2016,29508
789,2016,28849
790,2016,27418
791,2016,25295
792,2016,23357
793,2016,22023
794,2016,21326
795,2016,21212
796,2016,21196
797,2016,21754
798,2016,23394
799,2016,26207
800,2016,27373
801,2016,26781
802,2016,25987
803,2016,25205
804,2016,24559
805,2016,24310
806,2016,24379
807,2016,24373
808,2016,24614
809,2016,25477
810,2016,27828
811,2016,29278
812,2016,28928
813,2016,28231
814,2016,26728
815,2016,24755
816,2016,22812
817,2016,21474
818,2016,20827
819,2016,20542
820,2016,20556
821,2016,21185
822,2016,22843
823,2016,25626
824,2016,26716
825,2016,26014
826,2016,25286
827,2016,24796
828,2016,24525
829,2016,24172
830,2016,24206
831,2016,24073
832,2016,24166
833,2016,24824
834,2016,26985
835,2016,28607
836,2016,28233
837,2016,27617
838,2016,26247
839,2016,24376
840,2016,22496
841,2016,21475
842,2016,20778
843,2016,20399
844,2016,20438
845,2016,21107
846,2016,22698
847,2016,25270
848,2016,26292
849,2016,25748
850,2016,25085
851,2016,24564
852,2016,24085
853,2016,23724
854,2016,24086
855,2016,24140
856,2016,24262
857,2016,24682
858,2016,26494
859,2016,27791
860,2016,27236
861,2016,26564
862,2016,25416
863,2016,23942
864,2016,22536
865,2016,21223
866,2016,20418
867,2016,19941
868,2016,19766
869,2016,19935
870,2016,20604
871,2016,21594
872,2016,22070
873,2016,22394
874,2016,22141
875,2016,22021
876,2016,21676
877,2016,21430
878,2016,21325
879,2016,21429
880,2016,21845
881,2016,22550
882,2016,24345
883,2016,25950
884,2016,25669
885,2016,25036
886,2016,24031
887,2016,22729
888,2016,21265
889,2016,20340
890,2016,19614
891,2016,19145
892,2016,18936
893,2016,18945
894,2016,19449
895,2016,20146
896,2016,20425
897,2016,20833
898,2016,20832
899,2016,20759
900,2016,20713
901,2016,20823
902,2016,21091
903,2016,21480
904,2016,21649
905,2016,22218
906,2016,23850
907,2016,25298
908,2016,25048
909,2016,24843
910,2016,23769
911,2016,22287
912,2016,20739
913,2016,19667
914,2016,19055
915,2016,18769
916,2016,18811
917,2016,19408
918,2016,21065
919,2016,23093
920,2016,24075
921,2016,24194
922,2016,24298
923,2016,24411
924,2016,24536
925,2016,24770
926,2016,25154
927,2016,25506
928,2016,25986
929,2016,26458
930,2016,27735
931,2016,29010
932,2016,28301
933,2016,27153
934,2016,25531
935,2016,23429
936,2016,21459
937,2016,20346
938,2016,19636
939,2016,19210
940,2016,19193
941,2016,19756
942,2016,21458
943,2016,24005
944,2016,25115
945,2016,24937
946,2016,24859
947,2016,25087
948,2016,25341
949,2016,25623
950,2016,26255
951,2016,26801
952,2016,26943
953,2016,27151
954,2016,28295
955,2016,29330
956,2016,28620
957,2016,27459
958,2016,25663
959,2016,23473
960,2016,21498
961,2016,20247
962,2016,19450
963,2016,19149
964,2016,19325
965,2016,19855
966,2016,21461
967,2016,23954
968,2016,24980
969,2016,24641
970,2016,24847
971,2016,25084
972,2016,25325
973,2016,25541
974,2016,25917
975,2016,26326
976,2016,26665
977,2016,26941
978,2016,28044
979,2016,29119
980,2016,28400
981,2016,27305
982,2016,25704
983,2016,23533
984,2016,21590
985,2016,20205
986,2016,19835
987,2016,19314
988,2016,19290
989,2016,19824
990,2016,21371
991,2016,23965
992,2016,25110
993,2016,24909
994,2016,24875
995,2016,25036
996,2016,25074
997,2016,25541
998,2016,25799
999,2016,26234
1000,2016,26487
1001,2016,26849
1002,2016,27847
1003,2016,28953
1004,2016,28276
1005,2016,27239
1006,2016,25650
1007,2016,23625
1008,2016,21700
1009,2016,20605
1010,2016,19859
1011,2016,19425
