Timestamp,year,california
1,2016,0.04
2,2016,0.06
3,2016,0.1
4,2016,0.14
5,2016,0.17
6,2016,0.2
7,2016,0.22
8,2016,0.23
9,2016,0.2
10,2016,0.21
11,2016,0.21
12,2016,0.19
13,2016,0.17
14,2016,0.16
15,2016,0.17
16,2016,0.17
17,2016,0.16
18,2016,0.17
19,2016,0.19
20,2016,0.18
21,2016,0.16
22,2016,0.14
23,2016,0.14
24,2016,0.14
25,2016,0.15
26,2016,0.18
27,2016,0.23
28,2016,0.28
29,2016,0.31
30,2016,0.33
31,2016,0.34
32,2016,0.3
33,2016,0.21
34,2016,0.17
35,2016,0.17
36,2016,0.14
37,2016,0.12
38,2016,0.12
39,2016,0.13
40,2016,0.13
41,2016,0.12
42,2016,0.12
43,2016,0.13
44,2016,0.14
45,2016,0.15
46,2016,0.17
47,2016,0.18
48,2016,0.18
49,2016,0.17
50,2016,0.17
51,2016,0.17
52,2016,0.18
53,2016,0.19
54,2016,0.19
55,2016,0.19
56,2016,0.15
57,2016,0.09
58,2016,0.05
59,2016,0.05
60,2016,0.03
61,2016,0.01
62,2016,0.01
63,2016,0.02
64,2016,0.04
65,2016,0.08
66,2016,0.11
67,2016,0.11
68,2016,0.09
69,2016,0.06
70,2016,0.04
71,2016,0.03
72,2016,0.02
73,2016,0.01
74,2016,0.01
75,2016,0.01
76,2016,0.01
77,2016,0.01
78,2016,0.02
79,2016,0.04
80,2016,0.04
81,2016,0.03
82,2016,0.05
83,2016,0.08
84,2016,0.1
85,2016,0.1
86,2016,0.11
87,2016,0.12
88,2016,0.09
89,2016,0.08
90,2016,0.09
91,2016,0.12
92,2016,0.12
93,2016,0.11
94,2016,0.1
95,2016,0.1
96,2016,0.09
97,2016,0.09
98,2016,0.09
99,2016,0.09
100,2016,0.11
101,2016,0.12
102,2016,0.15
103,2016,0.2
104,2016,0.26
105,2016,0.28
106,2016,0.33
107,2016,0.4
108,2016,0.43
109,2016,0.43
110,2016,0.42
111,2016,0.4
112,2016,0.35
113,2016,0.32
114,2016,0.34
115,2016,0.38
116,2016,0.36
117,2016,0.33
118,2016,0.31
119,2016,0.3
120,2016,0.28
121,2016,0.28
122,2016,0.33
123,2016,0.41
124,2016,0.49
125,2016,0.55
126,2016,0.59
127,2016,0.61
128,2016,0.58
129,2016,0.5
130,2016,0.59
131,2016,0.67
