tech,region,year,EUR,CO2
pv,GER,2015,1.25E+06,2403.509
wind,GER,2015,1.40E+06,551.25
coal,GER,2015,1.75E+06,623.68
oil,GER,2015,4.38E+05,330
gas,GER,2015,3.85E+05,61.67
bat_e,GER,2015,5.80E+05,41458.868
bat_p,GER,2015,1.80E+05,0
trans,GER,2015,882,266.2
