tech,region,year,USD,CO2
pv,CA,2016,1137367,2403.509
pv,NE,2016,1012257,2403.509
pv,MX,2016,1137367,2403.509
pv,NW,2016,1012257,2403.509
pv,SW,2016,1012257,2403.509
wind,CA,2016,1577869,551.25
wind,NE,2016,1577869,551.25
wind,MX,2016,1577869,551.25
wind,NW,2016,1483197,551.25
wind,SW,2016,1451639,551.25
coal,all,2016,3636000,623.68
oil,all,2016,900000,330
nuc,all,2016,4997565,630
gas,CA,2016,978000,61.67
gas,NE,2016,792180,61.67
gas,MX,2016,978000,61.67
gas,NW,2016,792180,61.67
gas,SW,2016,801960,61.67
biogas,all,2016,5400000,61.67
biomass,all,2016,4985000,61.67
ror_large,all,2016,3123000,2789576.85352622
ror_small,all,2016,1,2789576.85352622
geo,all,2016,5676000,0
bat_e,all,2016,275000,41458.868
bat_in,all,2016,75000,0
bat_out,all,2016,0,0
php_e,all,2016,1,0
php_in,all,2016,275000,0
php_out,all,2016,275000,0
h2_e,all,2015,6.92E+02,0
h2_in,all,2015,3.302E+06,1.45E+06
h2_out,all,2015,0,0
trans,all,2016,882,266.2
