Timestamp,node61
h1,0.418604651
h2,0.338961453
h3,0.391525964
h4,0.388021663
h5,0.457789105
h6,0.477859191
h7,0.473717745
h8,0.381013061
h9,0.386747372
h10,0.320802803
h11,0.230965276
h12,0.14590634
h13,0.196559414
h14,0.276839758
h15,0.282574068
h16,0.186046512
h17,0.110863332
h18,0.11627907
h19,0.098757566
h20,0.07072316
h21,0.03536158
h22,0.050653074
h23,0.063714559
h24,0.050653074
h25,0.05925454
h26,0.100987576
h27,0.11404906
h28,0.174259318
h29,0.252946798
h30,0.274291176
h31,0.263459701
h32,0.272061166
h33,0.456514814
h34,0.402357439
h35,0.23829245
h36,0.302007009
h37,0.376553042
h38,0.35807582
h39,0.426887544
h40,0.340554317
h41,0.303599873
h42,0.292768398
h43,0.242433896
h44,0.165976426
h45,0.065625996
h46,0.196877987
h47,0.273972603
h48,0.270468302
h49,0.386747372
h50,0.483274928
h51,0.506530742
h52,0.525007964
h53,0.499522141
h54,0.496336413
h55,0.54730806
h56,0.620579802
h57,0.570245301
h58,0.592863969
h59,0.540299458
h60,0.481363492
h61,0.296272698
h62,0.226823829
h63,0.190825104
h64,0.165976426
h65,0.145587767
h66,0.119464798
h67,0.37177445
h68,0.653711373
h69,0.967187002
h70,0.987894234
h71,0.986619943
h72,0.981204205
h73,0.988531379
h74,0.973239885
h75,0.958585537
h76,0.944568334
h77,0.908251035
h78,0.859509398
h79,0.884995221
h80,0.901242434
h81,0.778910481
h82,0.707868748
h83,0.64765849
h84,0.805352023
h85,0.920675374
h86,0.939471169
h87,0.973558458
h88,0.977062759
h89,0.977062759
h90,0.952851227
h91,0.64765849
h92,0.416374642
h93,0.258362536
h94,0.327492832
h95,0.503345014
h96,0.50971647
h97,0.413826059
h98,0.40936604
h99,0.347562918
h100,0.336731443
h101,0.375597324
h102,0.389295954
h103,0.381013061
h104,0.334820006
h105,0.546352342
h106,0.570245301
h107,0.358394393
h108,0.190825104
h109,0.134119146
h110,0.11404906
h111,0.067856005
h112,0.066581714
h113,0.096208984
h114,0.123287671
h115,0.169480726
h116,0.174896464
h117,0.139534884
h118,0.155782096
h119,0.219496655
h120,0.197515132
h121,0.164383562
h122,0.178082192
h123,0.245619624
h124,0.354890092
h125,0.3934374
h126,0.426887544
h127,0.5234151
h128,0.56100669
h129,0.628862695
h130,0.859509398
h131,0.592226824
h132,0.352978656
h133,0.268238292
h134,0.376553042
h135,0.370500159
h136,0.273972603
h137,0.231283848
h138,0.198789423
h139,0.126791972
h140,0.155463523
h141,0.286078369
h142,0.169162154
h143,0.232239567
h144,0.225230965
h145,0.264415419
h146,0.283529787
h147,0.374960178
h148,0.338005734
h149,0.332589997
h150,0.29308697
h151,0.287671233
h152,0.25772539
h153,0.304874164
h154,0.207072316
h155,0.155782096
h156,0.143994903
h157,0.052564511
h158,0.02166295
h159,0.018795795
h160,0.021981523
h161,0.024530105
h162,0.033768716
h163,0.151959223
h164,0.292768398
h165,0.456514814
h166,0.406498885
h167,0.514813635
h168,0.555909525
h169,0.613889774
h170,0.646065626
h171,0.733035999
h172,0.667410003
h173,0.665179994
h174,0.577891048
h175,0.515769353
h176,0.376871615
h177,0.377508761
h178,0.18923224
h179,0.081873208
h180,0.090793246
h181,0.059891685
