Timestamp,dena21,dena81,dena82,dena22,dena23,dena71,dena84,dena73,dena24,dena83,dena72,dena74,dena25,dena75,dena41,dena42,dena26,dena76
03/02/15 07:00 PM,1147.6481041061,5749.10304106098,2281.98931231829,3453.80683284878,5335.50424927317,1264.96579178781,3664.2727917878,4016.22585483293,3699.30472874268,2861.24462463659,10279.4090850293,6831.57602198415,3557.81762463658,6165.1462082122,3883.1568958939,6114.363,5605.17156159146,1868.39052053049
03/02/15 08:00 PM,1073.48295989486,5344.59559894859,2127.83387968458,3197.62967915887,4942.1265187383,1203.72008021028,3461.79108021028,3852.50244115656,3435.28471926401,2653.16575936915,9859.34512294397,6554.99376199769,3308.73475936915,5789.01591978972,3661.18204010514,5754.439,5176.09439842288,1725.36479947429
03/02/15 09:00 PM,1009.70741013183,4999.80610131825,1995.89223039548,2980.3912810546,4608.3509215819,1149.15717973635,3284.49917973635,3702.84848854992,3210.55987092278,2476.38046079095,9475.52851630889,6301.89920749532,3096.31846079095,5463.51482026365,3467.62258986817,5441.678,4813.31115197738,1604.43705065913
03/02/15 10:00 PM,962.814489027839,4748.14089027839,1899.25346708352,2822.51191222271,4365.65986833406,1107.88702194432,3152.21302194432,3587.43062069378,3046.72542319487,2347.69493416703,9179.60230722052,6106.54470847107,2941.20893416703,5222.92897805568,3323.67551097216,5209.734,4550.31733541758,1516.77244513919
03/02/15 11:00 PM,877.463670596201,4294.23270596201,1724.2010117886,2539.30536476961,3930.05004715441,1030.1886588076,2907.1146588076,3365.28962344179,2751.6696941734,2116.3900235772,8610.22522330639,5730.21025867219,2661.3040235772,4782.2273411924,3058.0263294038,4783.134,4080.05505894301,1360.018352981
03/03/15 12:00 AM,814.942961209129,3965.24761209128,1596.68388362738,2335.36168967303,3616.12853450954,971.092077581744,2723.92507758174,3192.37242669959,2538.1927284639,1949.42176725477,8167.16108614441,5436.99373702656,2458.30876725477,4457.03592241826,2860.35203879087,4466.897,3742.69441813692,1247.56480604564
03/03/15 01:00 AM,775.71106953682,3760.3706953682,1516.98320861046,2208.94855629456,3421.44283444183,933.037860926361,2607.34786092636,3079.32823509499,2405.41748675774,1845.74641722092,7877.57005296906,5245.18967880043,2331.83641722092,4251.92213907364,2734.93893046318,4266.79,3534.16604305229,1178.0553476841
03/03/15 02:00 AM,759.846585288144,3677.87185288144,1484.82475586443,2158.17868230515,3343.23002345773,917.432829423712,2559.84382942371,3032.60256183042,2351.99009701701,1804.06751172886,7757.88361193198,5165.88487952527,2280.89651172886,4168.74317057629,2683.91841471186,4185.499,3450.54877932216,1150.18292644072
03/03/15 03:00 AM,772.686011828428,3744.62411828428,1510.84803548528,2199.25209462742,3406.50614194114,930.071976343144,2598.30597634314,3070.46386988729,2395.218082799,1837.78807097057,7854.86366880402,5230.14577525987,2322.11407097057,4236.07202365686,2725.22398817157,4251.306,3518.19017742642,1172.73005914214
03/03/15 04:00 AM,796.727913337847,3869.97313337847,1559.64874001354,2276.51730670278,3525.51396005416,953.518173324306,2669.95717332431,3140.32795328368,2476.43139336493,1901.17948002708,8033.83042654028,5348.69964658091,2399.50048002708,4361.90582667569,2802.25708666215,4374.151,3645.5687000677,1215.18956668924
